Bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
3,2.25,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2014,98116,[1403-1653],[1251-1450],[500000-600000)
4,2,[1697-1897],[4275-5025],1.5,0,Very Poor,Excellent,Average Quality And Design,[1540-1789],NoBasement,1906,98103,[1654-1904],[4051-4450],[700000-800000)
3,1,[1496-1696],[6528-7278],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],[614-764],1946,98133,[901-1151],[6451-6850],[400000-500000)
1,2,[1094-1294],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1962,98001,[1152-1402],[9651-10050],[200000-300000)
3,1,[1697-1897],[4275-5025],1.5,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],<=160,1930,98122,[1403-1653],[4051-4450],[600000-700000)
3,3,[2099-2299],[1270-2020],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[463-613],2002,98122,[2156-2406],[1651-1850],[600000-700000)
4,2.5,[2300-2500],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2006,98023,[1152-1402],[8851-9250],[300000-400000)
5,2.75,[1898-2098],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[765-915],1978,98118,[1654-1904],[8851-9250],[400000-500000)
4,2.75,[2501-2701],[3524-4274],3,0,Very Poor,Excellent,Good Quality And Desgin,[1790-2039],[614-764],1910,98103,[1403-1653],[4051-4450],[600000-700000)
4,2.5,[3104-3304],[10283-11870],2,0,OK,OK,Good Quality And Desgin,[3040-3289],NoBasement,2001,98001,[2909-3159],[12451-12850],[400000-500000)
2,1,[893-1093],[7279-8029],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1936,98125,[1152-1402],[6451-6850],[200000-300000)
2,1,[1697-1897],[21510-37540],1,1,Excellent,Good,Average Quality And Design,[1290-1539],[312-462],1951,98198,[2407-2657],[13651-14050],[500000-600000)
3,1.75,[893-1093],[5777-6527],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1968,98002,[1152-1402],[6051-6450],[100000-200000)
4,2.25,[1898-2098],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1987,98074,[1654-1904],[8451-8850],[500000-600000)
2,1,[1094-1294],[4275-5025],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1903,98107,[1152-1402],[1851-2050],[500000-600000)
5,2.25,[1898-2098],[7279-8029],1,0,OK,OK,Average Quality And Design,[1040-1289],[765-915],1960,98008,[1654-1904],[8451-8850],[500000-600000)
6,2.75,[3305-3505],>=54863,1,0,Very Poor,Excellent,Average Quality And Design,[2040-2289],[1218-1368],1962,98052,[2156-2406],[13651-14050],[700000-800000)
4,2.25,[2300-2500],[8030-8780],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[765-915],1978,98006,[2156-2406],[8851-9250],[600000-700000)
4,2.5,[2501-2701],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2006,98001,[2407-2657],[7651-8050],[400000-500000)
4,2.5,[2501-2701],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1992,98029,[1905-2155],[4451-4850],[500000-600000)
2,1.5,[692-892],[1270-2020],2,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1999,98133,<=900,[4851-5250],[200000-300000)
4,2.5,[2099-2299],[6528-7278],1,0,Very Poor,Excellent,Good Quality And Desgin,[1290-1539],[765-915],1974,98146,[1403-1653],[6851-7250],[500000-600000)
3,2.5,[3506-3706],[14751-21509],1,0,Good,OK,Good Quality And Desgin,[2290-2539],[1218-1368],1950,98008,[2658-2908],[13651-14050],[1300000-1400000)
3,1,[1496-1696],[3524-4274],1.5,0,Very Poor,OK,Bad Quality And Design,[1540-1789],NoBasement,1900,98117,[1403-1653],[3851-4050],[400000-500000)
2,1,[1094-1294],[3524-4274],1,0,Very Poor,Excellent,Bad Quality And Design,[540-789],[312-462],1916,98109,[1403-1653],[4051-4450],[400000-500000)
4,2.5,[2501-2701],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2010,98059,[2407-2657],[4051-4450],[400000-500000)
4,2.5,[2702-2902],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1992,98030,[2407-2657],[8051-8450],[300000-400000)
5,3.5,>=4511,[14751-21509],2,0,OK,OK,Very High Quality and Design,>=4290,NoBasement,2001,98075,>=3913,[13651-14050],[1000000-1100000)
3,2.5,[893-1093],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[540-789],[161-311],2004,98106,[901-1151],[1451-1650],[200000-300000)
4,3.25,[3305-3505],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2014,98074,[2909-3159],[5251-5650],[800000-900000)
3,1.75,[1496-1696],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1979,98003,[1403-1653],[7251-7650],[200000-300000)
4,2.5,[2903-3103],[37541-54862],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1985,98072,[3662-3912],[13651-14050],[800000-900000)
3,2,[1898-2098],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[765-915],1978,98155,[1905-2155],[10851-11250],[300000-400000)
4,1,[1295-1495],[6528-7278],1.5,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,1941,98168,[1152-1402],[6851-7250],[200000-300000)
3,1.75,[692-892],[5026-5776],1,0,Very Poor,Good,Bad Quality And Design,[540-789],NoBasement,1950,98126,<=900,[4851-5250],[300000-400000)
4,2.5,[2099-2299],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[765-915],1979,98059,[1403-1653],[8051-8450],[300000-400000)
4,2.5,[2702-2902],[2021-3523],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],[916-1066],2014,98144,[1403-1653],[4051-4450],[600000-700000)
4,1,[1898-2098],>=54863,1.5,0,Very Poor,OK,Bad Quality And Design,[1790-2039],NoBasement,1979,98027,[2407-2657],[13651-14050],[300000-400000)
4,1.5,[893-1093],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1969,98031,[1152-1402],[9251-9650],[200000-300000)
4,2.5,[2702-2902],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2006,98029,[2909-3159],[4451-4850],[700000-800000)
2,1.75,[1898-2098],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[765-915],1948,98115,[1403-1653],[6851-7250],[500000-600000)
4,4,>=4511,[14751-21509],2,0,Good,OK,Very High Quality and Design,[3040-3289],>= 1671,1978,98040,[3411-3661],[13651-14050],[1500000-1600000)
3,1,[893-1093],[10283-11870],1,0,Very Poor,Good,Average Quality And Design,[790-1039],NoBasement,1953,98005,[1905-2155],[10851-11250],[500000-600000)
6,3.25,[3506-3706],[14751-21509],2,0,Excellent,Good,Good Quality And Desgin,[3540-3789],NoBasement,1952,98177,[3411-3661],[13651-14050],[1000000-1100000)
4,4,>=4511,[21510-37540],2,0,Good,OK,Very High Quality and Design,>=4290,NoBasement,2004,98075,>=3913,[13651-14050],[1400000-1500000)
3,2.25,[1496-1696],[6528-7278],2,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],NoBasement,1985,98007,[1654-1904],[8051-8450],[500000-600000)
4,2.75,[1898-2098],[14751-21509],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[614-764],1967,98075,[2909-3159],[13651-14050],[500000-600000)
5,2.5,[2099-2299],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[765-915],1978,98034,[1654-1904],[7651-8050],[400000-500000)
2,1,[893-1093],[2021-3523],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],1904,98122,[1403-1653],[1651-1850],[600000-700000)
4,2.5,[3305-3505],[37541-54862],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,1989,98053,[3411-3661],[13651-14050],[800000-900000)
4,3.25,[3506-3706],[14751-21509],2,0,Very Poor,OK,Very High Quality and Design,[3290-3539],NoBasement,1986,98052,[3662-3912],[13651-14050],[900000-1000000)
3,1.75,[1496-1696],[5777-6527],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1949,98002,[1654-1904],[9251-9650],[100000-200000)
3,1.75,[2099-2299],[2021-3523],2,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[614-764],1906,98103,[1403-1653],[3651-3850],[700000-800000)
3,1.75,[1094-1294],[6528-7278],1.5,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1971,98034,[1152-1402],[6851-7250],[300000-400000)
4,2,[1295-1495],[8781-9531],1.5,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1928,98198,[1654-1904],[10051-10450],[400000-500000)
3,1.5,[692-892],[2021-3523],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1986,98106,<=900,[4851-5250],[200000-300000)
3,1.5,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1955,98133,[1403-1653],[7651-8050],[300000-400000)
2,1.75,[1697-1897],[6528-7278],1,0,Good,Good,Average Quality And Design,[790-1039],[765-915],1952,98056,[1905-2155],[7251-7650],[300000-400000)
3,2.5,[2702-2902],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1993,98053,[2658-2908],[13651-14050],[700000-800000)
3,1.5,[893-1093],[4275-5025],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1943,98178,[901-1151],[4851-5250],[100000-200000)
3,2.5,[2099-2299],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1992,98003,[1905-2155],[10451-10850],[300000-400000)
4,2.5,[2903-3103],[5777-6527],2,0,Very Poor,OK,Average Quality And Design,[2790-3039],NoBasement,2011,98042,[2407-2657],[5651-6050],[400000-500000)
4,1.5,[2099-2299],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[463-613],1953,98166,[1654-1904],[12451-12850],[400000-500000)
3,2.5,[1496-1696],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1993,98198,[1403-1653],[9651-10050],[200000-300000)
3,1,[1094-1294],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1970,98034,[1403-1653],[7251-7650],[300000-400000)
2,1,[1295-1495],[2021-3523],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[463-613],1915,98103,[1152-1402],[3451-3650],[400000-500000)
5,3.25,>=4511,[21510-37540],2,0,OK,Good,Very High Quality and Design,[3790-4039],[916-1066],1989,98040,>=3913,[13651-14050],[1600000-1700000)
1,1,[692-892],<=1269,1,0,Very Poor,OK,Good Quality And Desgin,[540-789],<=160,2007,98126,[1654-1904],[1851-2050],[100000-200000)
3,1,[692-892],[10283-11870],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1954,98146,[901-1151],[10851-11250],[200000-300000)
4,4,>=4511,[37541-54862],2,0,Very Poor,OK,Good Quality And Desgin,[4040-4289],[614-764],2012,98053,>=3913,[13651-14050],[1400000-1500000)
3,1,[1094-1294],[8030-8780],1.5,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1956,98032,[1152-1402],[7651-8050],[100000-200000)
3,2.5,[1295-1495],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1986,98052,[901-1151],[3051-3250],[400000-500000)
4,2.75,[2903-3103],[21510-37540],1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],[1218-1368],1982,98074,[1905-2155],[10051-10450],[600000-700000)
2,2,[1295-1495],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[312-462],1952,98199,[1403-1653],[4851-5250],[500000-600000)
4,1,[1697-1897],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[463-613],1954,98133,[1403-1653],[8051-8450],[400000-500000)
4,2.5,[2702-2902],[21510-37540],2,0,Very Poor,Good,Good Quality And Desgin,[2790-3039],NoBasement,1984,98072,[2407-2657],[13651-14050],[300000-400000)
4,2.5,[2702-2902],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2003,98092,[1654-1904],[4051-4450],[300000-400000)
3,1.75,[1496-1696],[11871-14750],1,0,Very Poor,Poor,Good Quality And Desgin,[1040-1289],[312-462],1984,98074,[1403-1653],[10051-10450],[400000-500000)
4,2.5,[2099-2299],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2002,98056,[1905-2155],[4451-4850],[400000-500000)
4,1.5,[3506-3706],[4275-5025],1.5,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],[1218-1368],1929,98108,[1654-1904],[5251-5650],[500000-600000)
3,2.5,[1898-2098],[11871-14750],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1995,98019,[1654-1904],[13651-14050],[300000-400000)
4,2,[1697-1897],[8781-9531],1,0,Very Poor,Excellent,Good Quality And Desgin,[1540-1789],NoBasement,1958,98033,[1654-1904],[7651-8050],[700000-800000)
4,2.25,[1898-2098],[3524-4274],2,0,Very Poor,Excellent,Average Quality And Design,[1540-1789],[312-462],1926,98117,[1905-2155],[4851-5250],[400000-500000)
4,2.5,[2702-2902],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1989,98006,[2658-2908],[9651-10050],[800000-900000)
4,1,[1295-1495],[6528-7278],1.5,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1906,98107,[1403-1653],[4851-5250],[500000-600000)
3,1,[1496-1696],[14751-21509],1,0,Very Poor,Good,Bad Quality And Design,[1290-1539],NoBasement,1975,98001,[1403-1653],[13651-14050],[100000-200000)
2,2,[1496-1696],[3524-4274],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1906,98112,[1403-1653],[4051-4450],[400000-500000)
2,1,[692-892],[5777-6527],1,0,Very Poor,OK,Bad Quality And Design,[540-789],NoBasement,1942,98126,<=900,[6051-6450],[200000-300000)
2,1.5,[1094-1294],[8030-8780],1,0,Very Poor,Good,Bad Quality And Design,[1040-1289],NoBasement,1948,98155,[901-1151],[8051-8450],[300000-400000)
3,2.5,[2300-2500],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2001,98042,[2909-3159],[5251-5650],[300000-400000)
4,2.25,[2099-2299],[11871-14750],1,1,Excellent,OK,Average Quality And Design,[1290-1539],[765-915],1948,98178,[2156-2406],[9251-9650],[800000-900000)
3,1.5,[1295-1495],[8781-9531],1,0,Very Poor,Good,Bad Quality And Design,[1290-1539],NoBasement,1990,98022,[901-1151],[8051-8450],[200000-300000)
4,3.25,[2903-3103],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[614-764],2014,98117,[1403-1653],[4051-4450],[1200000-1300000)
4,2.75,[1898-2098],[8030-8780],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],[765-915],1976,98052,[2156-2406],[8851-9250],[600000-700000)
4,3.25,[3707-3907],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[3790-4039],NoBasement,2014,98053,[3662-3912],[6451-6850],[900000-1000000)
4,2.25,[1295-1495],[8030-8780],1.5,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,1962,98005,[2156-2406],[10051-10450],[500000-600000)
3,2,[2099-2299],[11871-14750],1,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1968,98040,[2658-2908],[12051-12450],[800000-900000)
4,2.5,[2501-2701],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2006,98136,[2156-2406],[10051-10450],[800000-900000)
3,1.75,[1496-1696],[6528-7278],1,0,Very Poor,Excellent,Good Quality And Desgin,[1540-1789],NoBasement,1967,98008,[2156-2406],[6851-7250],[600000-700000)
2,1,[1094-1294],[11871-14750],1,0,Good,OK,Average Quality And Design,[1040-1289],NoBasement,1940,98136,[1654-1904],[6451-6850],[300000-400000)
3,1.5,[1496-1696],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1941,98126,[1403-1653],[5651-6050],[500000-600000)
3,1.5,[1295-1495],[10283-11870],1.5,0,Very Poor,OK,Bad Quality And Design,[1290-1539],NoBasement,1958,98168,[1152-1402],[9651-10050],[100000-200000)
3,1,[893-1093],[6528-7278],1,0,Very Poor,Good,Bad Quality And Design,[790-1039],NoBasement,1959,98008,[1152-1402],[7251-7650],[300000-400000)
4,2.5,[1697-1897],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[312-462],1977,98052,[1905-2155],[9251-9650],[600000-700000)
4,2,[1496-1696],[4275-5025],1.5,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1922,98103,[1654-1904],[4451-4850],[500000-600000)
3,2.5,[1697-1897],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1992,98029,[1654-1904],[4051-4450],[500000-600000)
4,2.5,[1898-2098],[7279-8029],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1987,98027,[1905-2155],[8451-8850],[600000-700000)
2,2.5,[893-1093],<=1269,2,0,Very Poor,OK,Average Quality And Design,[790-1039],<=160,2004,98118,[1152-1402],[1451-1650],[100000-200000)
4,2,[1898-2098],>=54863,1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2004,98042,[1654-1904],[13651-14050],[300000-400000)
3,2.5,[1496-1696],[6528-7278],2,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1985,98030,[1654-1904],[6851-7250],[100000-200000)
3,2.5,[1496-1696],[8030-8780],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1991,98022,[1403-1653],[8451-8850],[200000-300000)
5,2,[1697-1897],[7279-8029],1,0,Very Poor,Good,Bad Quality And Design,[1540-1789],NoBasement,1944,98178,[1403-1653],[6851-7250],[200000-300000)
3,3,[2702-2902],[5777-6527],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[1218-1368],1953,98199,[2407-2657],[5651-6050],[1000000-1100000)
3,1.75,[1496-1696],[8030-8780],1,0,Very Poor,Poor,Average Quality And Design,[790-1039],[463-613],1979,98045,[1403-1653],[10051-10450],[100000-200000)
3,1,[893-1093],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1954,98133,[1152-1402],[4851-5250],[200000-300000)
3,1.75,[1295-1495],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1952,98004,[2658-2908],[10451-10850],[600000-700000)
3,1.75,[1496-1696],[2021-3523],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[614-764],1992,98115,[1654-1904],[4051-4450],[500000-600000)
3,2,[2099-2299],[3524-4274],1.5,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1907,98105,[1654-1904],[3851-4050],[500000-600000)
3,1.5,[692-892],[6528-7278],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1945,98178,[901-1151],[6451-6850],[200000-300000)
2,1,[1094-1294],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1928,98115,[1403-1653],[3651-3850],[400000-500000)
4,2.5,[1898-2098],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1997,98019,[2407-2657],[13651-14050],[400000-500000)
4,1,[1496-1696],[2021-3523],1.5,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1907,98199,[1905-2155],[4451-4850],[500000-600000)
4,2.5,[2702-2902],[21510-37540],1,0,Very Poor,Good,Good Quality And Desgin,[2540-2789],NoBasement,1985,98072,[2658-2908],[13651-14050],[600000-700000)
4,2.5,[2099-2299],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1983,98028,[2658-2908],[10451-10850],[500000-600000)
5,2.5,[2501-2701],>=54863,1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[1067-1217],1981,98092,[1905-2155],[13651-14050],[400000-500000)
3,1.75,[2099-2299],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],[463-613],1978,98168,[1403-1653],[13651-14050],[300000-400000)
4,2.75,[2903-3103],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1999,98006,[2909-3159],[4451-4850],[700000-800000)
4,2.25,[2501-2701],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],[463-613],1955,98148,[1654-1904],[2451-2650],[300000-400000)
4,3.25,>=4511,[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,>=4290,NoBasement,2011,98059,>=3913,[13251-13650],[1000000-1100000)
4,3.5,[3104-3304],[5777-6527],1.5,0,Good,Good,Good Quality And Desgin,[2290-2539],[765-915],1912,98144,[2658-2908],[3851-4050],[1200000-1300000)
4,2.75,[2501-2701],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1998,98019,[2407-2657],[13651-14050],[500000-600000)
4,2.5,[1898-2098],[5026-5776],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1999,98092,[1905-2155],[6051-6450],[200000-300000)
3,1,[1295-1495],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1971,98077,[1152-1402],[10051-10450],[300000-400000)
4,2.25,[2300-2500],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[2290-2539],NoBasement,1959,98002,[1403-1653],[10051-10450],[200000-300000)
4,1,[1295-1495],[5777-6527],1.5,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1940,98144,[1403-1653],[5651-6050],[300000-400000)
4,2.25,[1898-2098],[8030-8780],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1975,98072,[1905-2155],[8051-8450],[400000-500000)
4,2.5,[2099-2299],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1996,98006,[2156-2406],[13251-13650],[600000-700000)
2,1,[893-1093],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1942,98115,[1403-1653],[5651-6050],[400000-500000)
3,1.75,[1094-1294],[9532-10282],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],<=160,1918,98106,[1152-1402],[2451-2650],[400000-500000)
4,2.5,[2300-2500],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1999,98092,[2407-2657],[6451-6850],[300000-400000)
4,2.75,[2501-2701],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[765-915],1979,98074,[2407-2657],[12851-13250],[500000-600000)
3,1.5,[2300-2500],[5026-5776],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[1067-1217],1939,98115,[2156-2406],[6451-6850],[800000-900000)
2,1,[893-1093],[5777-6527],1,0,Very Poor,Excellent,Bad Quality And Design,[1040-1289],NoBasement,1908,98030,[1654-1904],[7651-8050],[100000-200000)
3,2.5,[2903-3103],[37541-54862],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,1991,98053,[3160-3410],[13651-14050],[800000-900000)
1,1.5,[1094-1294],<=1269,3,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,2011,98144,[1152-1402],[3051-3250],[300000-400000)
3,2.5,[2099-2299],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[614-764],1980,98052,[1905-2155],[7251-7650],[500000-600000)
4,2.5,[3908-4108],[21510-37540],1.5,0,Very Poor,OK,Good Quality And Desgin,[3790-4039],NoBasement,1908,98004,[2909-3159],[13651-14050],[1700000-1800000)
3,1.75,[1094-1294],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1968,98001,[1152-1402],[9651-10050],[200000-300000)
4,3,[3506-3706],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],[463-613],1940,98112,[3411-3661],[8051-8450],[2200000-2300000)
1,1,[1094-1294],[11871-14750],1,0,Excellent,Good,Bad Quality And Design,[1040-1289],NoBasement,1946,98198,[2658-2908],[13651-14050],[300000-400000)
3,1,[692-892],[5026-5776],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1969,98042,<=900,[4851-5250],[100000-200000)
3,2,[1094-1294],[1270-2020],2,0,Very Poor,OK,Average Quality And Design,[790-1039],[161-311],2003,98106,[1152-1402],[1251-1450],[200000-300000)
3,2.25,[1496-1696],[8030-8780],2,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1988,98042,[1654-1904],[6851-7250],[200000-300000)
5,1.75,[1496-1696],>=54863,1.5,0,Very Poor,OK,Bad Quality And Design,[1540-1789],NoBasement,1915,98065,[1654-1904],[13651-14050],[200000-300000)
4,1,[1295-1495],[8030-8780],1.5,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1953,98133,[1152-1402],[8051-8450],[300000-400000)
3,1,[893-1093],[4275-5025],1,0,OK,Good,Average Quality And Design,[1040-1289],NoBasement,1919,98136,[1152-1402],[4451-4850],[600000-700000)
3,2.5,[1697-1897],[1270-2020],2,0,Very Poor,OK,Average Quality And Design,[1040-1289],[463-613],2004,98136,[1403-1653],[1451-1650],[300000-400000)
3,1.75,[2300-2500],[11871-14750],1.5,0,Very Poor,Good,Good Quality And Desgin,[2290-2539],NoBasement,1965,98006,[1905-2155],[9251-9650],[500000-600000)
5,4.75,[3908-4108],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],[614-764],2008,98004,[1905-2155],[7651-8050],[1700000-1800000)
3,1.5,[1898-2098],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],[161-311],1946,98010,[1905-2155],[13651-14050],[500000-600000)
4,1,[893-1093],[6528-7278],1,0,Very Poor,Good,Bad Quality And Design,[790-1039],NoBasement,1955,98055,[1403-1653],[6451-6850],[200000-300000)
2,1.75,[1094-1294],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],NoBasement,2014,98029,[1654-1904],[2251-2450],[300000-400000)
3,2.75,[2903-3103],[37541-54862],1,0,Excellent,OK,Good Quality And Desgin,[2290-2539],[614-764],1968,98040,>=3913,[13651-14050],[2000000-2100000)
4,2.75,[2099-2299],[9532-10282],1,0,Very Poor,Excellent,Good Quality And Desgin,[1040-1289],[765-915],1976,98056,[1905-2155],[9251-9650],[400000-500000)
3,2.5,[3104-3304],[4275-5025],2,0,OK,Excellent,Good Quality And Desgin,[2290-2539],[765-915],1945,98117,[1654-1904],[4851-5250],[800000-900000)
4,1,[1295-1495],[3524-4274],1.5,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1912,98103,[1403-1653],[3651-3850],[700000-800000)
3,1,[893-1093],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1959,98198,[1152-1402],[7651-8050],[200000-300000)
4,1.75,[1496-1696],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[463-613],1977,98031,[1403-1653],[7251-7650],[200000-300000)
