pos,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,sqft_living15,sqft_lot15,price_range
1045,8910500237,3,3.25,[1094-1294],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[790-1039],[161-311],2002,98133,[1403-1653],[1451-1650],[300000-400000)
1046,3126049446,3,3.5,[1094-1294],[1270-2020],3,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,2005,98103,[901-1151],[1051-1250],[300000-400000)
1047,5381000411,3,1.75,[1295-1495],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1986,98188,[1403-1653],[8851-9250],[200000-300000)
1048,5358300100,3,2,[2099-2299],[6528-7278],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[614-764],1966,98056,[1905-2155],[6851-7250],[300000-400000)
1049,3820350070,4,2.5,[1697-1897],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1999,98019,[1654-1904],[3651-3850],[300000-400000)
1050,439000090,4,2.25,[1898-2098],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[463-613],1961,98115,[1905-2155],[5651-6050],[500000-600000)
1051,2314300420,4,2.5,[2099-2299],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1998,98058,[2156-2406],[4851-5250],[400000-500000)
1052,7215410430,4,2.5,[2702-2902],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1993,98042,[2658-2908],[13651-14050],[400000-500000)
1053,7504010590,4,3,[3104-3304],[11871-14750],2,0,Very Poor,Good,Good Quality And Desgin,[3040-3289],NoBasement,1976,98074,[2909-3159],[12451-12850],[700000-800000)
1054,2870000040,2,1,[692-892],[8030-8780],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1964,98033,[2156-2406],[8051-8450],[100000-200000)
1055,5418650080,4,2.5,[3506-3706],[10283-11870],2,0,Very Poor,OK,Very High Quality and Design,[3540-3789],NoBasement,1987,98027,[3160-3410],[10451-10850],[900000-1000000)
1056,2560803085,3,1.5,[1496-1696],[10283-11870],1.5,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1947,98198,[1152-1402],[2851-3050],[200000-300000)
1057,5425700205,4,3.5,[4310-4510],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],>= 1671,1962,98039,[1905-2155],[13251-13650],[1800000-1900000)
1058,7229210060,3,1.75,[1898-2098],[10283-11870],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[463-613],1968,98058,[1403-1653],[7651-8050],[200000-300000)
1059,4364700990,3,1,[893-1093],[6528-7278],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],<=160,1948,98126,[901-1151],[6851-7250],[300000-400000)
1060,1090000075,2,1,[893-1093],[3524-4274],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1923,98136,[1654-1904],[4051-4450],[300000-400000)
1061,326049058,5,1.5,[2903-3103],[11871-14750],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[1369-1519],1955,98155,[1403-1653],[8051-8450],[400000-500000)
1062,1922069099,3,2,[1295-1495],>=54863,1,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],NoBasement,1964,98042,[1403-1653],[9651-10050],[300000-400000)
1063,6844703135,4,1.5,[1697-1897],[5026-5776],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[312-462],1953,98115,[1654-1904],[4851-5250],[500000-600000)
1064,2450000275,4,1.5,[1295-1495],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1959,98004,[1905-2155],[8051-8450],[500000-600000)
1065,5070000100,3,1.5,[1697-1897],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1790-2039],NoBasement,1962,98055,[1654-1904],[10051-10450],[200000-300000)
1066,9407110680,3,1.5,[1295-1495],[10283-11870],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1980,98045,[1152-1402],[9251-9650],[200000-300000)
1067,1552800280,5,2.25,[2300-2500],[10283-11870],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[916-1066],1963,98030,[2156-2406],[11251-11650],[200000-300000)
1068,6163901380,2,1,[893-1093],[8030-8780],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1950,98155,[901-1151],[8051-8450],[200000-300000)
1069,3861400030,4,1.75,[2099-2299],[14751-21509],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[614-764],1952,98004,[2407-2657],[13651-14050],[900000-1000000)
1070,5652601075,1,1,[893-1093],[10283-11870],1.5,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1929,98115,[1152-1402],[6851-7250],[300000-400000)
1071,9264900880,3,1.75,[1697-1897],[7279-8029],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[312-462],1979,98023,[1905-2155],[8051-8450],[200000-300000)
1072,7625704005,3,2,[1898-2098],[6528-7278],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1916,98136,[1654-1904],[6851-7250],[500000-600000)
1073,2193340260,4,2.25,[1697-1897],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1986,98052,[1654-1904],[8851-9250],[500000-600000)
1074,7519001321,4,2,[1697-1897],[2021-3523],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],[765-915],1926,98117,[1403-1653],[4051-4450],[500000-600000)
1075,8901500178,4,2.25,[2300-2500],[8781-9531],1.5,0,Very Poor,OK,Average Quality And Design,[2290-2539],NoBasement,1947,98125,[1654-1904],[7251-7650],[700000-800000)
1076,128500260,4,2.5,[1898-2098],[5777-6527],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2002,98001,[1905-2155],[4851-5250],[200000-300000)
1077,1025039320,4,3.5,[3305-3505],[4275-5025],2,0,Very Poor,OK,Very High Quality and Design,[2540-2789],[765-915],2006,98199,[2909-3159],[10051-10450],[1300000-1400000)
1078,3626039299,3,1,[1898-2098],[8030-8780],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],[614-764],1951,98117,[1403-1653],[6451-6850],[500000-600000)
1079,2026049125,2,2,[893-1093],[2021-3523],3,0,Very Poor,OK,Average Quality And Design,[790-1039],NoBasement,1999,98125,[1403-1653],[1251-1450],[300000-400000)
1080,1311600020,4,2.5,[2300-2500],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[916-1066],1965,98001,[1403-1653],[7251-7650],[200000-300000)
1081,9189700255,3,1,[893-1093],[7279-8029],1,0,Very Poor,Good,Bad Quality And Design,[790-1039],NoBasement,1967,98058,[1152-1402],[9251-9650],[100000-200000)
1082,7230200340,3,1,[1094-1294],[21510-37540],1,0,Very Poor,Excellent,Average Quality And Design,[1040-1289],NoBasement,1967,98059,[1403-1653],[13651-14050],[300000-400000)
1083,3832710840,4,2,[1697-1897],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],[161-311],1978,98032,[1403-1653],[7651-8050],[200000-300000)
1084,6679000960,4,2.5,[2300-2500],[5026-5776],2,0,Very Poor,OK,Average Quality And Design,[2290-2539],NoBasement,2003,98038,[1905-2155],[4851-5250],[300000-400000)
1085,8563010130,3,2.5,[3305-3505],[7279-8029],1,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],[1067-1217],2009,98008,[2407-2657],[7651-8050],[1300000-1400000)
1086,2525300200,3,1,[1094-1294],[10283-11870],1,0,Very Poor,Good,Bad Quality And Design,[1040-1289],NoBasement,1969,98038,[1152-1402],[9651-10050],[200000-300000)
1087,5128000010,2,1,[893-1093],[8030-8780],1,0,Very Poor,Poor,Bad Quality And Design,[790-1039],NoBasement,1948,98058,[1152-1402],[8051-8450],[0-100000)
1088,2771602427,2,1,[893-1093],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[790-1039],NoBasement,2010,98119,[1152-1402],[1451-1650],[400000-500000)
1089,7818700410,3,1.75,[2099-2299],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[1067-1217],1948,98117,[1152-1402],[4451-4850],[400000-500000)
1090,2624049167,3,1.5,[1898-2098],[11871-14750],1,0,Very Poor,OK,Average Quality And Design,[1790-2039],[161-311],1954,98118,[2156-2406],[10851-11250],[400000-500000)
1091,8651411260,2,1,[893-1093],[5026-5776],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1969,98042,[901-1151],[4851-5250],[100000-200000)
1092,291310170,3,2.5,[1496-1696],[2021-3523],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,2005,98027,[1403-1653],[1251-1450],[300000-400000)
1093,3363900111,2,1,[893-1093],[2021-3523],1,0,OK,Excellent,Average Quality And Design,[790-1039],[161-311],1907,98103,[1905-2155],[3051-3250],[400000-500000)
1094,8900000100,4,2,[1496-1696],[1270-2020],1.5,0,Very Poor,OK,Bad Quality And Design,[790-1039],[463-613],1915,98119,[1654-1904],[3651-3850],[500000-600000)
1095,7950303290,3,1.75,[1898-2098],[2021-3523],1,0,Very Poor,Excellent,Average Quality And Design,[790-1039],[916-1066],1951,98118,[901-1151],[5651-6050],[400000-500000)
1096,924059233,4,2,[2300-2500],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1977,98005,[1403-1653],[9251-9650],[600000-700000)
1097,6672900220,4,2.25,[2300-2500],[11871-14750],1,0,Very Poor,Excellent,Good Quality And Desgin,[2290-2539],NoBasement,1962,98040,[2658-2908],[12051-12450],[900000-1000000)
1098,7015201015,3,3,[2903-3103],[5026-5776],1.5,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],[916-1066],1929,98119,[1905-2155],[5651-6050],[800000-900000)
1099,4178900070,4,2.5,[3104-3304],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,2007,98056,[2658-2908],[7251-7650],[700000-800000)
1100,1323059098,3,2,[1094-1294],[11871-14750],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1970,98059,[1905-2155],[13651-14050],[300000-400000)
1101,6820100010,4,2,[1697-1897],[2021-3523],1,0,Very Poor,Good,Average Quality And Design,[790-1039],[765-915],1923,98115,[1654-1904],[3651-3850],[400000-500000)
1102,8121200700,4,2.25,[1898-2098],[8030-8780],2,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],NoBasement,1983,98052,[1905-2155],[8451-8850],[500000-600000)
1103,1376800025,3,2.25,[2702-2902],[5777-6527],1,0,Good,Good,Good Quality And Desgin,[1540-1789],[1067-1217],1948,98199,[2658-2908],[5651-6050],[800000-900000)
1104,7203601405,2,1,[692-892],[2021-3523],1,0,Poor,OK,Bad Quality And Design,[540-789],NoBasement,1934,98198,[1152-1402],[4051-4450],[200000-300000)
1105,5116000170,3,2.5,[1295-1495],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,1983,98028,[1152-1402],[7651-8050],[300000-400000)
1106,8732020440,4,2.5,[2099-2299],[8030-8780],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],[916-1066],1978,98023,[1905-2155],[8451-8850],[200000-300000)
1107,7715801040,3,2,[1295-1495],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1984,98074,[1403-1653],[8051-8450],[400000-500000)
1108,5700000515,4,2,[2099-2299],[4275-5025],1.5,0,Very Poor,Good,Average Quality And Design,[1290-1539],[614-764],1922,98144,[1905-2155],[4851-5250],[600000-700000)
1109,8835800350,4,3.25,>=4511,>=54863,2,0,Good,OK,Very High Quality and Design,>=4290,NoBasement,2002,98045,>=3913,[13651-14050],[1900000-2000000)
1110,4027700456,4,2.5,[2501-2701],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1998,98155,[2156-2406],[7651-8050],[500000-600000)
1111,6819100040,2,1,[1094-1294],[2021-3523],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],NoBasement,1927,98109,[1654-1904],[3051-3250],[600000-700000)
1112,1722049154,3,2.25,[2501-2701],[14751-21509],2,0,Good,OK,Good Quality And Desgin,[2540-2789],NoBasement,1984,98198,[2407-2657],[13651-14050],[500000-600000)
1113,1829300260,4,2.5,[3305-3505],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,1987,98074,[2909-3159],[10451-10850],[700000-800000)
1114,49000051,2,1.75,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1983,98146,[1152-1402],[7651-8050],[300000-400000)
1115,8732020670,3,1.75,[1697-1897],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1790-2039],NoBasement,1978,98023,[1905-2155],[8051-8450],[400000-500000)
1116,357000025,2,1,[1697-1897],[3524-4274],1.5,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[161-311],1912,98144,[1403-1653],[3651-3850],[500000-600000)
1117,6838800140,4,3.5,[4109-4309],[37541-54862],1,0,Very Poor,Good,Very High Quality and Design,[4040-4289],NoBasement,1993,98077,[3411-3661],[13651-14050],[1100000-1200000)
1118,3876810170,3,1,[893-1093],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[790-1039],NoBasement,1970,98072,[1152-1402],[8051-8450],[300000-400000)
1119,1924069058,4,3.25,>=4511,[37541-54862],2,0,Very Poor,Excellent,Good Quality And Desgin,[3540-3789],[1218-1368],1978,98027,[2909-3159],[13651-14050],[900000-1000000)
1120,4263200030,3,1,[1094-1294],[6528-7278],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1958,98144,[1403-1653],[4851-5250],[200000-300000)
1121,123039642,3,2.5,[1898-2098],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[614-764],1981,98146,[1905-2155],[7651-8050],[500000-600000)
1122,4222310010,4,1,[1697-1897],[7279-8029],1.5,0,Very Poor,Good,Bad Quality And Design,[1540-1789],NoBasement,1970,98003,[1403-1653],[7651-8050],[200000-300000)
1123,1865810060,5,3.5,[2300-2500],[6528-7278],2,0,Very Poor,Excellent,Average Quality And Design,[2290-2539],NoBasement,1977,98042,[901-1151],[6451-6850],[200000-300000)
1124,8860310240,3,1.75,[2300-2500],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[765-915],1977,98052,[2156-2406],[10051-10450],[500000-600000)
1125,3296900160,4,2.5,[2099-2299],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1992,98019,[2156-2406],[13651-14050],[400000-500000)
1126,4036400030,4,2.5,[1697-1897],[9532-10282],1,0,OK,OK,Good Quality And Desgin,[1540-1789],NoBasement,1971,98155,[2407-2657],[9651-10050],[600000-700000)
1127,8161020050,3,2.5,[2501-2701],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1994,98014,[2156-2406],[13651-14050],[400000-500000)
1128,7140200380,3,2,[1898-2098],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[790-1039],[765-915],1980,98030,[1654-1904],[7251-7650],[200000-300000)
1129,5115000160,3,1.75,[1094-1294],[7279-8029],1.5,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1988,98031,[1403-1653],[7651-8050],[200000-300000)
1130,2724069010,2,1,[893-1093],[8030-8780],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1939,98027,[1403-1653],[5651-6050],[300000-400000)
1131,4037200665,3,1.75,[1094-1294],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1957,98008,[1403-1653],[7651-8050],[400000-500000)
1132,4023500362,4,1.75,[1898-2098],[8781-9531],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[463-613],1977,98155,[1905-2155],[9651-10050],[500000-600000)
1133,7853410170,4,2.5,[2300-2500],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2013,98065,[2407-2657],[5651-6050],[500000-600000)
1134,4365200865,3,1,[1496-1696],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1540-1789],NoBasement,1909,98126,[1152-1402],[7651-8050],[300000-400000)
1135,6641020160,4,2.5,[1898-2098],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1996,98028,[2156-2406],[6851-7250],[500000-600000)
1136,98000740,5,3.5,[4310-4510],[14751-21509],2,0,Very Poor,OK,Very High Quality and Design,>=4290,NoBasement,2003,98075,>=3913,[13651-14050],[900000-1000000)
1137,1788900380,2,1,[1094-1294],[8781-9531],1,0,Very Poor,Good,Bad Quality And Design,[1040-1289],NoBasement,1960,98023,<=900,[9251-9650],[100000-200000)
1138,3751601877,4,3.5,[3707-3907],[14751-21509],2.5,0,Very Poor,OK,Good Quality And Desgin,[3790-4039],NoBasement,2014,98001,[1905-2155],[13651-14050],[500000-600000)
1139,3629990020,3,2.25,[1094-1294],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,2005,98029,[1403-1653],[2651-2850],[400000-500000)
1140,2338800100,6,2.25,[2702-2902],[14751-21509],1.5,0,OK,Excellent,Average Quality And Design,[1790-2039],[765-915],1940,98166,[2407-2657],[7651-8050],[500000-600000)
1141,2787700180,3,2,[1094-1294],[8030-8780],1,0,Very Poor,Excellent,Average Quality And Design,[1040-1289],NoBasement,1968,98059,[1403-1653],[7651-8050],[300000-400000)
1142,3885805896,5,3.75,[3506-3706],[5777-6527],1.5,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[1067-1217],2004,98033,[2407-2657],[7251-7650],[1100000-1200000)
1143,46100204,5,3,[3104-3304],[21510-37540],1,0,Good,OK,Good Quality And Desgin,[1790-2039],[1369-1519],1957,98040,[3662-3912],[13651-14050],[1500000-1600000)
1144,1562000050,5,2.75,[2501-2701],[7279-8029],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[1067-1217],1964,98007,[1905-2155],[8051-8450],[600000-700000)
1145,3298600850,3,1.75,[1295-1495],[11871-14750],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],NoBasement,1977,98092,[1905-2155],[13651-14050],[200000-300000)
1146,7211402115,3,1,[1094-1294],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1965,98146,[901-1151],[4851-5250],[200000-300000)
1147,108000127,4,3.5,[1898-2098],[2021-3523],3,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2008,98177,[1403-1653],[1451-1650],[400000-500000)
1148,5021900779,3,2,[1496-1696],[9532-10282],1,0,Very Poor,Excellent,Average Quality And Design,[1540-1789],NoBasement,1952,98040,[1654-1904],[11251-11650],[700000-800000)
1149,1934800133,3,2.5,[1295-1495],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[790-1039],[463-613],2006,98122,[1403-1653],[1651-1850],[300000-400000)
1150,9276200190,5,1,[1295-1495],[5777-6527],1.5,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],NoBasement,1926,98116,[1403-1653],[6051-6450],[500000-600000)
1151,8898700960,3,2.5,[1697-1897],[8030-8780],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1983,98055,[1654-1904],[8451-8850],[300000-400000)
1152,7852070090,3,2.5,[3104-3304],[10283-11870],2,0,OK,OK,Good Quality And Desgin,[3040-3289],NoBasement,2002,98065,>=3913,[13251-13650],[700000-800000)
1153,3449800010,4,3.25,[3104-3304],[8781-9531],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],[614-764],1997,98056,[2658-2908],[9651-10050],[500000-600000)
1154,6448600060,5,2.5,[2300-2500],[14751-21509],2,0,Very Poor,Good,Good Quality And Desgin,[2290-2539],NoBasement,1963,98004,[2909-3159],[13651-14050],[1500000-1600000)
1155,2524049179,3,2.75,[2903-3103],[37541-54862],1,0,Excellent,OK,Good Quality And Desgin,[2290-2539],[614-764],1968,98040,>=3913,[13651-14050],[2000000-2100000)
1156,8073000585,4,2.25,[2099-2299],[11871-14750],1,1,Excellent,OK,Average Quality And Design,[1290-1539],[765-915],1948,98178,[2156-2406],[9251-9650],[800000-900000)
1157,8122600165,3,1,[1496-1696],[5777-6527],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],[463-613],1945,98126,[1152-1402],[6051-6450],[200000-300000)
1158,3856901760,2,1,[1697-1897],[2021-3523],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[765-915],1920,98105,[1403-1653],[3851-4050],[700000-800000)
1159,3760500116,3,2.5,[3908-4108],>=54863,1,1,Excellent,Good,Good Quality And Desgin,[2290-2539],[1520-1670],1957,98034,[2658-2908],[13651-14050],[3000000-3100000)
1160,7227500450,2,1,[692-892],[5777-6527],1,0,Very Poor,Excellent,Bad Quality And Design,[790-1039],NoBasement,1942,98056,<=900,[5651-6050],[200000-300000)
1161,7436900045,3,1,[1094-1294],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1957,98052,[1403-1653],[8851-9250],[300000-400000)
1162,1864900230,4,2.5,[1898-2098],[9532-10282],1,0,Very Poor,Good,Good Quality And Desgin,[1040-1289],[765-915],1977,98042,[1905-2155],[12451-12850],[300000-400000)
1163,3905081070,4,2.5,[1898-2098],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1994,98029,[1905-2155],[5651-6050],[500000-600000)
1164,646910030,3,2.5,[1496-1696],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,2004,98055,[1403-1653],[1851-2050],[200000-300000)
1165,9839300125,4,2,[1697-1897],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],<=160,1909,98122,[1403-1653],[4051-4450],[500000-600000)
1166,9477001280,4,2,[1496-1696],[7279-8029],1,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],NoBasement,1967,98034,[1403-1653],[7651-8050],[400000-500000)
1167,1525059112,3,2.5,[2099-2299],[37541-54862],1,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],NoBasement,1945,98005,[2658-2908],[13651-14050],[1000000-1100000)
1168,582000135,2,1.75,[1295-1495],[5777-6527],1,0,Very Poor,Good,Average Quality And Design,[790-1039],[312-462],1914,98199,[1403-1653],[5651-6050],[500000-600000)
1169,7702010030,3,2.5,[2702-2902],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2001,98028,[2407-2657],[5651-6050],[500000-600000)
1170,4473400045,3,2,[1898-2098],[5026-5776],1,0,Poor,Excellent,Average Quality And Design,[1040-1289],[916-1066],1954,98144,[1905-2155],[4851-5250],[500000-600000)
1171,2193340120,3,2.25,[1697-1897],[7279-8029],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[463-613],1986,98052,[1905-2155],[8051-8450],[500000-600000)
1172,8902000407,3,1.75,[1697-1897],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[312-462],1939,98125,[1403-1653],[8451-8850],[400000-500000)
1173,126049167,4,2.25,[2099-2299],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[916-1066],1963,98028,[1905-2155],[10451-10850],[300000-400000)
1174,1682000160,3,1,[1295-1495],[8781-9531],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1968,98092,[1152-1402],[8051-8450],[200000-300000)
1175,9528103443,2,1.5,[1094-1294],<=1269,2,0,Very Poor,OK,Average Quality And Design,[1040-1289],<=160,2001,98115,[901-1151],[851-1050],[400000-500000)
1176,5559600140,3,2,[1295-1495],[7279-8029],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1988,98003,[1403-1653],[7651-8050],[200000-300000)
1177,1917300260,4,2,[1496-1696],[5777-6527],1.5,0,Very Poor,Excellent,Bad Quality And Design,[1290-1539],NoBasement,1920,98022,[1152-1402],[5251-5650],[200000-300000)
1178,8901000543,3,2.5,[2501-2701],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2004,98125,[1654-1904],[7251-7650],[600000-700000)
1179,3762900130,2,1.75,[893-1093],[6528-7278],2,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1984,98034,[1654-1904],[7251-7650],[300000-400000)
1180,3025300225,5,2.75,[2903-3103],[14751-21509],1,0,Very Poor,Good,Good Quality And Desgin,[3040-3289],NoBasement,1953,98039,[2909-3159],[13651-14050],[1400000-1500000)
1181,3880900245,6,3,[2702-2902],[4275-5025],2.5,0,Very Poor,Good,Good Quality And Desgin,[2790-3039],NoBasement,1907,98119,[2407-2657],[4451-4850],[700000-800000)
1182,4340000080,4,3.5,[2702-2902],[7279-8029],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1995,98004,[2407-2657],[7651-8050],[1400000-1500000)
1183,2469000010,4,2.25,[2099-2299],[11871-14750],1,0,Very Poor,Excellent,Good Quality And Desgin,[2040-2289],NoBasement,1961,98040,[2156-2406],[10451-10850],[1000000-1100000)
1184,193300120,3,1.75,[1094-1294],[10283-11870],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1987,98042,[1152-1402],[8451-8850],[100000-200000)
1185,1912100885,3,1.5,[1697-1897],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1922,98102,[1654-1904],[3851-4050],[600000-700000)
1186,8645500160,3,1.5,[1496-1696],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[463-613],1973,98058,[1403-1653],[8051-8450],[100000-200000)
1187,5422420120,3,2,[1295-1495],[6528-7278],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1990,98023,[1654-1904],[6451-6850],[200000-300000)
1188,5608010750,4,3.5,[4109-4309],[14751-21509],2,0,OK,OK,Very High Quality and Design,[4040-4289],NoBasement,1994,98027,[3160-3410],[10051-10450],[1100000-1200000)
1189,9151600055,4,2.75,[2501-2701],[5777-6527],2,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],[463-613],1910,98116,[1905-2155],[5251-5650],[700000-800000)
1190,4307300930,3,2.5,[1697-1897],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2002,98056,[2156-2406],[3451-3650],[300000-400000)
1191,3558900070,3,2.25,[1697-1897],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[463-613],1975,98034,[2156-2406],[9251-9650],[400000-500000)
1192,1898310100,3,2.5,[1697-1897],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1987,98023,[1654-1904],[8051-8450],[200000-300000)
1193,6087100070,4,4,[2099-2299],[5777-6527],1.5,0,Very Poor,Excellent,Average Quality And Design,[1540-1789],[463-613],1940,98116,[1905-2155],[4051-4450],[600000-700000)
1194,6061500130,4,3.25,[3506-3706],[14751-21509],2,0,Poor,OK,Good Quality And Desgin,[2790-3039],[463-613],2013,98059,>=3913,[10851-11250],[1000000-1100000)
1195,1085623560,4,2.5,[2903-3103],[4275-5025],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2014,98030,[2658-2908],[4851-5250],[400000-500000)
1196,705700960,3,2.5,[1496-1696],[10283-11870],2,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1994,98038,[1905-2155],[7651-8050],[300000-400000)
1197,3352402195,3,1,[692-892],[6528-7278],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1957,98178,[901-1151],[8051-8450],[100000-200000)
