Int32,String,DateTime,Double,Int32,Double,String,String,Double,Boolean,String,String,String,String,String,Int32,String,String,String,String
3461,4167960330,20150109T000000,270000,3,2,[1697-1897],[7279-8029],1,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1992,98023,[1905-2155],[8051-8450],[200000-300000)
3462,6163901061,20141211T000000,329000,4,2,[1094-1294],[7279-8029],1.5,0,Very Poor,Excellent,Average Quality And Design,[1040-1289],NoBasement,1946,98155,[1403-1653],[9651-10050],[300000-400000)
3463,2734100065,20140612T000000,445000,5,1.75,[2300-2500],[6528-7278],1.5,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],[1067-1217],1911,98108,[1403-1653],[4451-4850],[400000-500000)
3464,3705000060,20140604T000000,270000,3,2.25,[1898-2098],[3524-4274],1.5,0,Very Poor,OK,Average Quality And Design,[1540-1789],[463-613],2003,98042,[1905-2155],[2251-2450],[200000-300000)
3465,3179100790,20140915T000000,766500,2,1.75,[2099-2299],[6528-7278],1,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[614-764],1947,98105,[1905-2155],[6851-7250],[700000-800000)
3466,4139400280,20141008T000000,765000,3,2.5,[2501-2701],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1992,98006,[2658-2908],[8851-9250],[700000-800000)
3467,8965000110,20141114T000000,455000,3,1.75,[1295-1495],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1969,98052,[1905-2155],[9651-10050],[400000-500000)
3468,3972300169,20141125T000000,195000,2,1,[692-892],[8781-9531],1,0,Very Poor,Good,Bad Quality And Design,[540-789],NoBasement,1947,98155,[1403-1653],[8451-8850],[100000-200000)
3469,2767601752,20140707T000000,510000,3,2.5,[1295-1495],<=1269,3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2014,98107,[1403-1653],[2451-2650],[500000-600000)
3470,7520000520,20140905T000000,232000,2,1,[1094-1294],[11871-14750],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],[161-311],1922,98146,[1654-1904],[7251-7650],[200000-300000)
3471,464000600,20140827T000000,641250,3,2.5,[2099-2299],[2021-3523],3,0,OK,OK,Good Quality And Desgin,[2040-2289],NoBasement,1990,98117,[2156-2406],[5251-5650],[600000-700000)
3472,7853230200,20150309T000000,470000,3,2.5,[2300-2500],[5026-5776],2,0,Very Poor,OK,Average Quality And Design,[2290-2539],NoBasement,2004,98065,[2407-2657],[5651-6050],[400000-500000)
3473,1860600535,20141220T000000,1.32E+06,4,3,[2099-2299],[3524-4274],2,0,Good,Good,Good Quality And Desgin,[1790-2039],[161-311],1908,98119,[1905-2155],[3451-3650],[1300000-1400000)
3474,9478501020,20140916T000000,317950,3,2.5,[1898-2098],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2012,98042,[2156-2406],[4451-4850],[300000-400000)
3475,7883606725,20141111T000000,174900,3,1,[1094-1294],[5777-6527],1.5,0,Very Poor,Poor,Bad Quality And Design,[1040-1289],NoBasement,1926,98108,[901-1151],[5651-6050],[100000-200000)
3476,1592000780,20140523T000000,625000,3,2.5,[2501-2701],[9532-10282],1,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,1984,98074,[2407-2657],[9251-9650],[600000-700000)
3477,323089172,20140718T000000,410000,4,2.5,[1898-2098],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,1995,98045,[1654-1904],[13651-14050],[400000-500000)
3478,2518400046,20141118T000000,456700,3,1.75,[2702-2902],[8781-9531],1,0,Very Poor,Excellent,Average Quality And Design,[1540-1789],[1218-1368],1920,98146,[1403-1653],[7651-8050],[400000-500000)
3479,1843100580,20140903T000000,360000,4,2.5,[2300-2500],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1990,98042,[2156-2406],[10851-11250],[300000-400000)
3480,3021059304,20140917T000000,300000,6,3,[2702-2902],[9532-10282],2,0,Very Poor,OK,Average Quality And Design,[2540-2789],NoBasement,2006,98002,[2407-2657],[9651-10050],[300000-400000)
3481,9834200440,20140624T000000,615000,3,1.75,[1697-1897],[3524-4274],1,0,Very Poor,Good,Average Quality And Design,[790-1039],[614-764],1924,98144,[1654-1904],[4051-4450],[600000-700000)
3482,7695470120,20140808T000000,610000,3,2.5,[2099-2299],[21510-37540],1,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[463-613],1986,98077,[2407-2657],[13651-14050],[600000-700000)
3483,3275300050,20141124T000000,272000,3,3,[2300-2500],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[2040-2289],[161-311],1983,98003,[1654-1904],[9651-10050],[200000-300000)
3484,2022069200,20150505T000000,455000,4,2.5,[2099-2299],[37541-54862],1,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,1997,98038,[2658-2908],[13651-14050],[400000-500000)
3485,5351200280,20150407T000000,845000,4,2.5,[2300-2500],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],[614-764],1988,98122,[1905-2155],[4851-5250],[800000-900000)
3486,9465910380,20141024T000000,540000,4,2.25,[2702-2902],[7279-8029],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1991,98072,[2658-2908],[8451-8850],[500000-600000)
3487,7923100410,20141009T000000,650000,4,1.75,[2501-2701],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],[1067-1217],1966,98008,[1905-2155],[7651-8050],[600000-700000)
3488,2744600040,20140614T000000,330000,3,1.75,[1295-1495],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1950,98125,[1152-1402],[8051-8450],[300000-400000)
3489,259600410,20150413T000000,505000,3,2.25,[1295-1495],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1963,98008,[1654-1904],[7251-7650],[500000-600000)
3490,7278700069,20140521T000000,668750,4,2.5,[2300-2500],[5777-6527],1,0,OK,OK,Good Quality And Desgin,[1540-1789],[614-764],1964,98177,[1905-2155],[10851-11250],[600000-700000)
3491,8899000190,20141212T000000,301000,3,1.75,[1697-1897],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[614-764],1968,98055,[1654-1904],[8051-8450],[300000-400000)
3492,8566100200,20140508T000000,980000,5,2.5,[3104-3304],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[1369-1519],1971,98040,[3160-3410],[11251-11650],[900000-1000000)
3493,326049103,20140922T000000,470000,4,2.5,[2300-2500],[8030-8780],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2002,98155,[1654-1904],[8451-8850],[400000-500000)
3494,6132600315,20140827T000000,375000,1,1,[893-1093],[5026-5776],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],<=160,1927,98117,[2156-2406],[4851-5250],[300000-400000)
3495,4142450490,20150403T000000,315000,3,2.5,[1697-1897],[5777-6527],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,2004,98038,[1403-1653],[3451-3650],[300000-400000)
3496,9287801455,20141028T000000,484950,2,1,[893-1093],[4275-5025],1,0,OK,Good,Average Quality And Design,[790-1039],NoBasement,1916,98107,[1654-1904],[4851-5250],[400000-500000)
3497,9542600070,20141202T000000,516000,3,3,[2300-2500],[7279-8029],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[916-1066],1971,98005,[2156-2406],[9251-9650],[500000-600000)
3498,5315100277,20140513T000000,1.40E+06,5,4.25,[3506-3706],[7279-8029],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2001,98040,[1654-1904],[8851-9250],[1400000-1500000)
3499,2597550090,20140905T000000,455000,5,2.25,[3305-3505],[21510-37540],1.5,0,Very Poor,Good,Good Quality And Desgin,[2790-3039],[614-764],1978,98042,[1905-2155],[13651-14050],[400000-500000)
3500,2231800020,20141120T000000,366000,4,2.75,[1898-2098],[8030-8780],1,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],[614-764],1961,98133,[1905-2155],[8051-8450],[300000-400000)
3501,3025049028,20141216T000000,930000,2,1.5,[1697-1897],[4275-5025],1,0,OK,OK,Average Quality And Design,[790-1039],[765-915],1942,98109,[2156-2406],[3651-3850],[900000-1000000)
3502,1773100920,20141211T000000,320000,3,3.25,[1295-1495],<=1269,2,0,Very Poor,OK,Good Quality And Desgin,[1040-1289],[161-311],2013,98106,[1152-1402],[1051-1250],[300000-400000)
3503,2419600075,20141201T000000,465000,3,1.75,[1295-1495],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1954,98133,[1403-1653],[6051-6450],[400000-500000)
3504,1180007005,20140625T000000,265950,3,1.5,[1094-1294],[8030-8780],1,0,Very Poor,Good,Bad Quality And Design,[1040-1289],NoBasement,1951,98178,[1152-1402],[6451-6850],[200000-300000)
3505,191100235,20140603T000000,1.30E+06,4,3.5,[2702-2902],[9532-10282],1.5,0,Very Poor,Excellent,Good Quality And Desgin,[2790-3039],NoBasement,1985,98040,[2407-2657],[10051-10450],[1300000-1400000)
3506,1721059230,20150304T000000,265953,3,1.75,[1295-1495],[11871-14750],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1975,98092,[1905-2155],[13651-14050],[200000-300000)
3507,3356403820,20141205T000000,115000,2,1,[893-1093],[14751-21509],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1913,98001,[1152-1402],[10051-10450],[100000-200000)
3508,476000017,20141003T000000,553000,2,2,[1295-1495],[1270-2020],2,0,Very Poor,OK,Good Quality And Desgin,[790-1039],[312-462],2006,98107,[1152-1402],[3451-3650],[500000-600000)
3509,2867100005,20150407T000000,710000,2,1,[1697-1897],[2021-3523],1.5,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[161-311],1914,98119,[1403-1653],[3051-3250],[700000-800000)
3510,3013300660,20141028T000000,550000,3,2.25,[1898-2098],[8030-8780],2,0,OK,OK,Good Quality And Desgin,[2040-2289],NoBasement,1988,98136,[1905-2155],[5251-5650],[500000-600000)
3511,3416600185,20141106T000000,685000,3,1.75,[1295-1495],[6528-7278],1,0,OK,OK,Good Quality And Desgin,[1290-1539],NoBasement,1963,98122,[1654-1904],[3851-4050],[600000-700000)
3512,3760100100,20140723T000000,425000,5,2.75,[1295-1495],[10283-11870],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],<=160,1962,98034,[1905-2155],[10451-10850],[400000-500000)
3513,1193000025,20140903T000000,495000,2,1.5,[1898-2098],[5777-6527],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],[765-915],1937,98199,[1905-2155],[6051-6450],[400000-500000)
3514,7853321090,20141001T000000,450000,3,2.5,[2300-2500],[4275-5025],2,0,Very Poor,OK,Average Quality And Design,[2290-2539],NoBasement,2007,98065,[2156-2406],[5651-6050],[400000-500000)
3515,2354300835,20141224T000000,480000,2,2,[1094-1294],[11871-14750],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1943,98027,[1654-1904],[6051-6450],[400000-500000)
3516,2873000260,20150305T000000,150000,3,1,[1094-1294],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1968,98031,[901-1151],[6851-7250],[100000-200000)
3517,8854100350,20150107T000000,625000,5,2.5,[2903-3103],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2007,98011,[2909-3159],[12851-13250],[600000-700000)
3518,825079024,20150506T000000,785000,3,2.75,[2903-3103],>=54863,2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2000,98014,[2407-2657],[13651-14050],[700000-800000)
3519,726059048,20140926T000000,490500,3,2,[2903-3103],[21510-37540],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],[916-1066],1998,98011,[2156-2406],[13651-14050],[400000-500000)
3520,7230300060,20140805T000000,370000,4,2.5,[2099-2299],[14751-21509],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[1067-1217],1966,98059,[1654-1904],[13651-14050],[300000-400000)
3521,3260000340,20140622T000000,732600,4,2.5,[2099-2299],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[765-915],1963,98005,[1905-2155],[7251-7650],[700000-800000)
3522,2475200330,20150403T000000,350000,3,2.25,[1898-2098],[4275-5025],1.5,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1986,98055,[1654-1904],[4051-4450],[300000-400000)
3523,2011400401,20150226T000000,510000,3,2.5,[2702-2902],[6528-7278],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2012,98198,[1905-2155],[8851-9250],[500000-600000)
3524,7015200136,20150503T000000,1.00E+06,5,1,[1898-2098],[5026-5776],1.5,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],<=160,1927,98119,[2156-2406],[4851-5250],[1000000-1100000)
3525,100300500,20141121T000000,333000,3,2.5,[1496-1696],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,2009,98059,[1654-1904],[3051-3250],[300000-400000)
3526,8856000545,20140507T000000,100000,2,1,[893-1093],[21510-37540],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1956,98001,[1152-1402],[9651-10050],[100000-200000)
3527,4136950200,20140627T000000,255000,3,2.5,[1697-1897],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[1540-1789],NoBasement,1998,98092,[1654-1904],[6051-6450],[200000-300000)
3528,8944750850,20140521T000000,288400,3,2.25,[1697-1897],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1997,98056,[1403-1653],[3251-3450],[200000-300000)
3529,6620400025,20150501T000000,245000,3,1,[1295-1495],[9532-10282],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1959,98168,[1152-1402],[6051-6450],[200000-300000)
3530,8155500020,20141018T000000,530000,5,2.75,[2300-2500],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[1218-1368],1968,98008,[2156-2406],[8051-8450],[500000-600000)
3531,1862400087,20150313T000000,475000,3,1.75,[1496-1696],[8030-8780],1,0,Very Poor,Excellent,Bad Quality And Design,[540-789],[614-764],1945,98117,[901-1151],[8051-8450],[400000-500000)
3532,7526800100,20140708T000000,695500,5,2.75,[2501-2701],[8781-9531],1,0,Poor,Good,Good Quality And Desgin,[1540-1789],[765-915],1975,98052,[2407-2657],[9651-10050],[600000-700000)
3533,2883200160,20150429T000000,595000,4,2,[1898-2098],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[1790-2039],NoBasement,1960,98115,[1905-2155],[3051-3250],[500000-600000)
3534,2222900082,20140513T000000,449500,3,2,[1697-1897],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[790-1039],[765-915],1954,98133,[1905-2155],[4051-4450],[400000-500000)
3535,1863900225,20141028T000000,226450,3,1.75,[1697-1897],[6528-7278],1.5,0,Very Poor,Good,Bad Quality And Design,[1540-1789],NoBasement,1944,98032,<=900,[6851-7250],[200000-300000)
3536,7852020790,20140627T000000,490000,3,2.5,[2099-2299],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2040-2289],NoBasement,2000,98065,[2156-2406],[4851-5250],[400000-500000)
3537,8807900236,20141219T000000,430000,1,1,<=691,[1270-2020],1,0,Very Poor,OK,Average Quality And Design,[540-789],NoBasement,1943,98109,[901-1151],[1251-1450],[400000-500000)
3538,9191201385,20150301T000000,505400,3,1.75,[1496-1696],[2021-3523],1,0,Very Poor,Good,Average Quality And Design,[790-1039],[614-764],1926,98105,[1152-1402],[3651-3850],[500000-600000)
3539,5152100160,20150219T000000,357000,3,1.75,[2300-2500],[11871-14750],1,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1971,98003,[2658-2908],[13651-14050],[300000-400000)
3540,7298900010,20140924T000000,640000,4,2.5,[2903-3103],[21510-37540],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,1998,98077,[3160-3410],[13651-14050],[600000-700000)
3541,2111010940,20150220T000000,289500,3,2.25,[2099-2299],[2021-3523],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,2002,98092,[2407-2657],[3251-3450],[200000-300000)
3542,3630110510,20140804T000000,571000,3,2.5,[1898-2098],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[1790-2039],NoBasement,2005,98029,[2156-2406],[3651-3850],[500000-600000)
3543,9264030040,20150430T000000,425000,3,2.5,[2501-2701],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2002,98001,[2909-3159],[8851-9250],[400000-500000)
3544,5154700060,20141015T000000,1.66E+06,4,2.75,[3506-3706],[14751-21509],1,1,Excellent,Good,Good Quality And Desgin,[1790-2039],[1520-1670],1951,98136,[2407-2657],[6851-7250],[1600000-1700000)
3545,9126100346,20140617T000000,350000,3,2,[1295-1495],[3524-4274],3,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],NoBasement,2015,98122,[1403-1653],[3451-3650],[300000-400000)
3546,3157600615,20140708T000000,326500,3,1,[893-1093],[7279-8029],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1968,98106,[901-1151],[7251-7650],[300000-400000)
3547,6629300120,20150402T000000,402000,3,1,[1094-1294],[6528-7278],1,0,Very Poor,OK,Average Quality And Design,[1040-1289],NoBasement,1954,98133,[1403-1653],[8051-8450],[400000-500000)
3548,191100405,20150421T000000,1.58E+06,4,3.25,[3305-3505],[9532-10282],2,0,Very Poor,OK,Good Quality And Desgin,[3290-3539],NoBasement,2007,98040,[2156-2406],[10051-10450],[1500000-1600000)
3549,1626069102,20150323T000000,500000,4,2.25,[1898-2098],[37541-54862],2,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1988,98077,[2156-2406],[13651-14050],[500000-600000)
3550,7345000120,20140617T000000,206000,3,1,[1295-1495],[6528-7278],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1967,98002,[1152-1402],[7251-7650],[200000-300000)
3551,305010050,20141231T000000,665000,4,2.5,[2501-2701],[5777-6527],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1998,98075,[2658-2908],[6051-6450],[600000-700000)
3552,7140700850,20150326T000000,350000,4,2.5,[2501-2701],[5026-5776],2,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2012,98042,[2407-2657],[5251-5650],[300000-400000)
3553,7689600360,20140613T000000,215000,2,1,[692-892],[6528-7278],1,0,Very Poor,OK,Bad Quality And Design,[540-789],NoBasement,1943,98178,[901-1151],[6851-7250],[200000-300000)
3554,7979900440,20150512T000000,600000,2,1.75,[1898-2098],[11871-14750],1,0,Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1951,98155,[2407-2657],[12851-13250],[600000-700000)
3555,3583400120,20150204T000000,526750,5,2.5,[2099-2299],[10283-11870],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[614-764],1963,98028,[1905-2155],[10051-10450],[500000-600000)
3556,2922069134,20140829T000000,585000,3,1.75,[2099-2299],>=54863,1,0,Very Poor,OK,Average Quality And Design,[2040-2289],NoBasement,1976,98042,[2658-2908],[13651-14050],[500000-600000)
3557,7578200310,20141112T000000,650000,4,2,[2099-2299],[4275-5025],3,0,Very Poor,Excellent,Good Quality And Desgin,[2040-2289],NoBasement,1917,98116,[1654-1904],[4851-5250],[600000-700000)
3558,3579000180,20141229T000000,495000,3,2.75,[2300-2500],[14751-21509],1,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[765-915],1988,98028,[2156-2406],[10051-10450],[400000-500000)
3559,2427910040,20140826T000000,515000,4,2.5,[2702-2902],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[2790-3039],NoBasement,2003,98024,[2909-3159],[13651-14050],[500000-600000)
3560,2787460430,20141028T000000,299950,2,1.75,[1295-1495],[10283-11870],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],NoBasement,1983,98031,[1403-1653],[8051-8450],[200000-300000)
3561,524069101,20140723T000000,850000,4,2,[3305-3505],>=54863,1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],>= 1671,1979,98075,[3160-3410],[13651-14050],[800000-900000)
3562,4139490210,20140730T000000,1.29E+06,4,3.5,[3908-4108],[11871-14750],2,0,OK,OK,Very High Quality and Design,[3040-3289],[765-915],1998,98006,>=3913,[12051-12450],[1200000-1300000)
3563,9284802045,20140630T000000,345000,2,1,[893-1093],[5026-5776],1,0,Very Poor,Good,Bad Quality And Design,[790-1039],NoBasement,1932,98126,[1403-1653],[8451-8850],[300000-400000)
3564,3176600105,20140813T000000,750000,3,2.25,[2099-2299],[5026-5776],2,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[614-764],1975,98115,[2156-2406],[6851-7250],[700000-800000)
3565,9371700085,20140722T000000,425000,3,1.75,[1295-1495],[8030-8780],1,0,Very Poor,Excellent,Average Quality And Design,[1290-1539],NoBasement,1942,98133,[1152-1402],[8051-8450],[400000-500000)
3566,203600600,20150310T000000,685530,4,2.5,[3104-3304],>=54863,2,0,Very Poor,OK,Good Quality And Desgin,[3040-3289],NoBasement,1996,98014,[2658-2908],[13651-14050],[600000-700000)
3567,4038700930,20141113T000000,630000,4,2.5,[2099-2299],[8781-9531],1,0,OK,Good,Average Quality And Design,[1040-1289],[765-915],1960,98008,[1905-2155],[8451-8850],[600000-700000)
3568,1604601155,20141208T000000,180000,3,1,[692-892],[3524-4274],1,0,Very Poor,Poor,Bad Quality And Design,[540-789],NoBasement,1920,98118,[1152-1402],[3451-3650],[100000-200000)
3569,1592000250,20141013T000000,623000,4,2.75,[2300-2500],[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1984,98074,[2156-2406],[8851-9250],[600000-700000)
3570,255450340,20140827T000000,387865,3,2.5,[2300-2500],[3524-4274],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,2014,98038,[2156-2406],[4051-4450],[300000-400000)
3571,192300020,20140521T000000,525000,3,2.75,[2099-2299],[10283-11870],2,0,Very Poor,OK,Good Quality And Desgin,[1290-1539],[463-613],1998,98045,[2156-2406],[11651-12050],[500000-600000)
3572,255370570,20141120T000000,359950,4,3.5,[2501-2701],[5026-5776],2,0,Very Poor,OK,Average Quality And Design,[2540-2789],NoBasement,2007,98038,[2156-2406],[3851-4050],[300000-400000)
3573,7017200120,20140820T000000,358000,2,1,[893-1093],[5026-5776],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1939,98133,[901-1151],[5651-6050],[300000-400000)
3574,8563000770,20141210T000000,490000,3,1.75,[1496-1696],[8030-8780],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],[161-311],1967,98008,[1905-2155],[8051-8450],[400000-500000)
3575,7738500731,20140815T000000,4.50E+06,5,5.5,>=4511,[37541-54862],2,1,Excellent,OK,Very High Quality and Design,>=4290,[161-311],2004,98155,[2909-3159],[13651-14050],8000000
3576,2206700280,20141208T000000,390000,3,1.5,[893-1093],[11871-14750],1,0,Very Poor,Good,Average Quality And Design,[790-1039],NoBasement,1956,98006,[1403-1653],[11251-11650],[300000-400000)
3577,945000410,20150313T000000,265000,2,1,[893-1093],[4275-5025],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],NoBasement,1917,98117,[901-1151],[4451-4850],[200000-300000)
3578,952004745,20150304T000000,400800,4,1,[893-1093],[5026-5776],1,0,Very Poor,OK,Bad Quality And Design,[790-1039],[161-311],1923,98126,[1152-1402],[5651-6050],[400000-500000)
3579,6121000090,20140616T000000,295000,3,1.75,[1697-1897],[8030-8780],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[614-764],1960,98148,[1403-1653],[8851-9250],[200000-300000)
3580,1421069208,20141223T000000,379000,3,3.25,[2501-2701],[14751-21509],2.5,0,Very Poor,OK,Good Quality And Desgin,[2540-2789],NoBasement,2014,98010,[1152-1402],[11651-12050],[300000-400000)
3581,4254000060,20141002T000000,525000,4,2.75,[2501-2701],[14751-21509],2,0,Very Poor,OK,Good Quality And Desgin,[2290-2539],NoBasement,1998,98019,[2407-2657],[13651-14050],[500000-600000)
3582,2734100395,20150513T000000,380000,2,1,[692-892],[3524-4274],1.5,0,Very Poor,OK,Bad Quality And Design,[540-789],NoBasement,1910,98108,[901-1151],[3851-4050],[300000-400000)
3583,7129303045,20150417T000000,949950,5,2.5,[2300-2500],[1270-2020],2,1,Excellent,OK,Good Quality And Desgin,[2290-2539],NoBasement,1959,98118,[2156-2406],[3051-3250],[900000-1000000)
3584,8651430370,20150425T000000,150000,3,1,[1094-1294],[5026-5776],1,0,Very Poor,OK,Bad Quality And Design,[1040-1289],NoBasement,1969,98042,<=900,[4851-5250],[100000-200000)
3585,5095600360,20150312T000000,329950,3,1.75,[1295-1495],[11871-14750],1,0,Very Poor,Good,Average Quality And Design,[1290-1539],NoBasement,1985,98059,[1403-1653],[13251-13650],[300000-400000)
3586,984000130,20141223T000000,325000,4,2.25,[1898-2098],[10283-11870],2,0,Very Poor,Good,Average Quality And Design,[1790-2039],NoBasement,1967,98058,[1654-1904],[7251-7650],[300000-400000)
3587,9144300060,20150430T000000,350000,3,1,[1094-1294],[9532-10282],1,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1969,98072,[1654-1904],[9251-9650],[300000-400000)
3588,8691310070,20140618T000000,913000,4,2.5,[3506-3706],[10283-11870],2,0,Very Poor,OK,Very High Quality and Design,[3540-3789],NoBasement,1999,98075,[3160-3410],[10051-10450],[900000-1000000)
3589,2581900284,20140707T000000,821000,3,2.75,[2702-2902],[8030-8780],1,0,Very Poor,Good,Good Quality And Desgin,[1540-1789],[1067-1217],1967,98040,[2407-2657],[9651-10050],[800000-900000)
3590,5700004028,20150417T000000,2.45E+06,4,4.25,[4109-4309],[6528-7278],2,0,Good,Good,Good Quality And Desgin,[2790-3039],[1369-1519],2008,98144,[3411-3661],[8451-8850],[2400000-2500000)
3591,4025300285,20141029T000000,276693,4,1,[1094-1294],[8781-9531],1.5,0,Very Poor,Good,Average Quality And Design,[1040-1289],NoBasement,1946,98155,[1152-1402],[8851-9250],[200000-300000)
3592,1930301015,20150428T000000,818000,3,3.25,[2099-2299],[4275-5025],2,0,OK,OK,Average Quality And Design,[1790-2039],[161-311],1943,98103,[1403-1653],[4451-4850],[800000-900000)
3593,9285800055,20141014T000000,619500,4,2.5,[2099-2299],[5026-5776],1.5,0,Very Poor,Good,Good Quality And Desgin,[1290-1539],[614-764],1912,98126,[1654-1904],[4851-5250],[600000-700000)
3594,4204400098,20150119T000000,250000,5,1.75,[2099-2299],[8030-8780],1,0,OK,OK,Average Quality And Design,[1040-1289],[916-1066],1963,98055,[2407-2657],[8051-8450],[200000-300000)
3595,7905380280,20140822T000000,436000,4,2,[1496-1696],[14751-21509],1,0,Very Poor,OK,Average Quality And Design,[1540-1789],NoBasement,1972,98034,[1654-1904],[8051-8450],[400000-500000)
3596,3810000565,20140702T000000,255000,4,2,[2300-2500],[8781-9531],1,0,Very Poor,OK,Average Quality And Design,[1290-1539],[916-1066],1960,98178,[2407-2657],[8851-9250],[200000-300000)
3597,7857004225,20150424T000000,355000,2,1.75,[1496-1696],[3524-4274],1,0,Very Poor,OK,Average Quality And Design,[790-1039],[614-764],1929,98108,[1403-1653],[5251-5650],[300000-400000)
3598,1778360150,20140620T000000,1.24E+06,7,5.5,>=4511,[11871-14750],2,0,Very Poor,OK,Good Quality And Desgin,>=4290,>= 1671,2004,98006,>=3913,[8451-8850],[1200000-1300000)
